0	0	0.717473	0.696586
1	14	0.490951	0.871187
2	1	0.482205	0.876058
3	23	0.34881	0.937194
4	22	0.105631	0.994405
5	29	0.067379	0.997727
6	28	-0.0495759	0.99877
7	16	-0.182645	0.983179
8	3	-0.488159	0.872755
9	10	-0.69137	0.722501
10	30	-0.98434	0.176281
11	4	-0.98968	0.143298
12	26	-0.991421	0.130705
13	24	-0.999094	0.0425475
14	27	-0.99935	0.0360596
15	17	-0.958776	-0.284163
16	5	-0.899859	-0.436181
17	15	-0.898197	-0.439593
18	19	-0.866511	-0.499159
19	31	-0.861008	-0.508592
20	8	-0.556778	-0.830661
21	6	-0.278816	-0.960344
22	2	-0.127518	-0.991836
23	21	0.029236	-0.999573
24	25	0.0379884	-0.999278
25	12	0.162934	-0.986637
26	11	0.517489	-0.85569
27	9	0.828785	-0.559567
28	18	0.994097	0.108496
29	13	0.991194	0.132421
30	20	0.918643	0.395088
31	7	0.857503	0.514478
32	0	0.717473	0.696586
